StockfishMove,StockfishCPL,AlphaZeroMove,#ActionTaken
c7c6,289,e7e5,0.0805369
e7e5,281,g7g5,0.0738255
a7a5,182,b8a6,0.0469799
a7a6,169,a7a6,0.0469799
b7b6,84,b7b6,0.0469799
f7f5,69,b8c6,0.0469799
g8f6,51,c7c6,0.0469799
g8h6,38,d7d6,0.0469799
b7b5,30,e7e6,0.0469799
b8a6,25,g8f6,0.0469799
c7c5,-30,f7f6,0.0469799
b8c6,-33,g7g6,0.0469799
h7h6,-40,g8h6,0.0469799
g7g6,-48,h7h6,0.0469799
f7f6,-56,a7a5,0.0469799
h7h5,-115,b7b5,0.0469799
d7d6,-148,c7c5,0.0469799
g7g5,-217,d7d5,0.0469799
d7d5,-502,f7f5,0.0469799
e7e6,-848,h7h5,0.0469799
